precio,titulo_anuncio,tipo_alojamineto,n_personas,n_dormitorios,n_camas,n_banos,valoracion,n_evaluaciones,comunidad,url
54.0,"Cueva El Desvelo, coqueta cueva en piedra viva",piso,2.0,1.0,1.0,1.0,4.89,18.0,islas_canarias,https://www.airbnb.es/rooms/689869771851429661?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-12&source_impression_id=p3_1691172402_jPXPi5L7OagYEvVb&previous_page_section_name=1000&federated_search_id=db65e09f-a6b3-4b8c-ab29-84b1d5d621d0
40.0,Casa Rural Las Gemelas · Mirador del barranco,casa,4.0,1.0,2.0,1.0,4.82,116.0,islas_canarias,https://www.airbnb.es/rooms/23852696?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691172351_WLL2R%2BV3E%2FZ6wKql&previous_page_section_name=1000&federated_search_id=b41b1263-25bb-414e-8718-5e7ad3703f1b
32.0,Casa Callepiedra,piso,2.0,1.0,1.0,1.0,4.67,76.0,islas_canarias,https://www.airbnb.es/rooms/18511321?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-19&source_impression_id=p3_1691172402_SmBLfR1XKNq8s1Ry&previous_page_section_name=1000&federated_search_id=db65e09f-a6b3-4b8c-ab29-84b1d5d621d0
203.0,Hacienda el Terrero - La Baja del Terrero,piso,4.0,1.0,2.0,1.0,4.74,47.0,islas_canarias,https://www.airbnb.es/rooms/53856224?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691172394_8gEXSMMKyC7wkAWm&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
34.0,Loft con Terraza 201,piso,2.0,1.0,1.0,1.0,4.79,107.0,islas_canarias,https://www.airbnb.es/rooms/39197035?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&source_impression_id=p3_1691172390_zMEzMN53LxnNISmj&previous_page_section_name=1000&federated_search_id=500c8026-ec7b-42b8-9008-238952a03daf
73.0,"Masca, maravillosa experiencia natural",piso,3.0,1.0,3.0,1.0,4.78,146.0,islas_canarias,https://www.airbnb.es/rooms/30678746?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691172370_X0KOVZ3wuyfAABNh&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
25.0,"Vista al mar, atardecer y estrellas",piso,1.0,0.0,1.0,1.0,4.85,47.0,islas_canarias,https://www.airbnb.es/rooms/37182847?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-12&source_impression_id=p3_1691172362_YBWzknlUlyCo5jRG&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
56.0,Retiro de glamping en el huerto con vistas a la montaña,piso,2.0,1.0,1.0,1.0,5.0,16.0,islas_canarias,https://www.airbnb.es/rooms/680869823521901322?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1691172394_iDbopJoAYr7TxoLA&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
31.0,LinaStudio,piso,3.0,0.0,1.0,1.0,4.53,194.0,islas_canarias,https://www.airbnb.es/rooms/16361427?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691172370_ehuEwiRpQR6SY%2FEt&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
33.0,Ático luminoso | Terraza con vistas y wifi,piso,3.0,1.0,2.0,1.0,4.88,355.0,islas_canarias,https://www.airbnb.es/rooms/18245453?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-12&check_out=2023-11-17&source_impression_id=p3_1691172345_HWIG896wRj8oIPYC&previous_page_section_name=1000&federated_search_id=41fafa1c-8213-4b70-9ff7-9b4bdb8eff3d
44.0,"Terraza, céntrico pueblo + fácil aparcamiento",piso,4.0,2.0,4.0,1.0,5.0,25.0,islas_canarias,https://www.airbnb.es/rooms/837446713623817902?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-20&source_impression_id=p3_1691172390_a%2BHOACpKUVrL7GSs&previous_page_section_name=1000&federated_search_id=500c8026-ec7b-42b8-9008-238952a03daf
73.0,"Masca, maravillosa experiencia natural",piso,3.0,1.0,3.0,1.0,4.78,146.0,islas_canarias,https://www.airbnb.es/rooms/30678746?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691172366_N239vDQ7vXTl%2FaBM&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
45.0,Casa Avalo: Habitación con increíbles vistas,casa,2.0,1.0,1.0,1.0,4.59,34.0,islas_canarias,https://www.airbnb.es/rooms/43188398?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691172351_RUDHpIBZaHwdWJi5&previous_page_section_name=1000&federated_search_id=b41b1263-25bb-414e-8718-5e7ad3703f1b
52.0,"Dinamic people, terrace, amazing beach,súper views",piso,4.0,1.0,3.0,1.0,4.88,432.0,islas_canarias,https://www.airbnb.es/rooms/10778172?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691172345_v3Mq8Bi6L0Qx9Tv%2F&previous_page_section_name=1000&federated_search_id=41fafa1c-8213-4b70-9ff7-9b4bdb8eff3d
18.0,"Finca-culturural "" La Sombra Del Drago "", La Palma",piso,5.0,2.0,6.0,1.0,4.24,39.0,islas_canarias,https://www.airbnb.es/rooms/21712357?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691172379_6UIw7iFsm8AodAzG&previous_page_section_name=1000&federated_search_id=08eb49d2-f817-47c1-acfd-9cf57f0c3b32
35.0,Espectacular Puesta de Sol,piso,3.0,1.0,1.0,1.0,4.78,304.0,islas_canarias,https://www.airbnb.es/rooms/21546338?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691172366_GzLqJTqKUUMNgzWV&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
95.0,"Estudio de lujo, vista al mar, piscina privada",piso,2.0,1.0,1.0,1.0,4.56,140.0,islas_canarias,https://www.airbnb.es/rooms/6384225?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1691172370_fl3n3W00GbodmXuU&previous_page_section_name=1000&federated_search_id=dde3fff5-09c3-4336-8aa4-3076d8028d15
