Unnamed: 0,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,precio,comunidad,url
364.0,Casa/Estudio Rural (T) en plena naturaleza,casa rural,4 viajeros,1 dormitorio,3 camas,1 baño,"5,0",44,,comunidad_valenciana,https://www.airbnb.es/rooms/611380973792624424?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-08&check_out=2023-09-15&source_impression_id=p3_1691086181_VQLczZ1jX33MlTsY&previous_page_section_name=1000&federated_search_id=631070d1-c9b0-40d3-881a-dd0f7647920c
371.0,Apartamento Junto Estación Tren y Bus de Córdoba,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,79",110,,andalucia,https://www.airbnb.es/rooms/21877817?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086481_y0PBHyB8Fw5OZb2F&previous_page_section_name=1000&federated_search_id=b348a4a6-0446-4609-9ffb-8c897d419c93
390.0,Oferta -20% apartamento en el centro de Murcia.,piso,3 viajeros,1 dormitorio,2 camas,"1,5 baños","4,77",39,,murcia,https://www.airbnb.es/rooms/707795721470853311?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086286_SpFSuqS5YWT1O79v&previous_page_section_name=1000&federated_search_id=356d1efd-13b9-489c-96a9-033d9af97124
398.0,Piso Jardín Floridablanca,piso,6 viajeros,2 dormitorios,4 camas,1 baño,"5,0",5,,murcia,https://www.airbnb.es/rooms/884666404919355020?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086303_Ql0nn2xVOQycJPgn&previous_page_section_name=1000&federated_search_id=5fa4b39f-2c59-4f96-bb64-6da22f242341
404.0,Casa rústica con jardín propio - ZONA ALFA LEÓN,vivienda,4 viajeros,2 dormitorios,3 camas,1 baño,"4,64",50,,castilla_y_leon,https://www.airbnb.es/rooms/45343533?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-26&source_impression_id=p3_1691086009_S27ttQ6o1aKgmR8X&previous_page_section_name=1000&federated_search_id=b4630cea-274f-4c9d-af80-3661f9173b18
421.0,Apartamento Villa Termal Mondariz Baneario,piso,4 viajeros,1 dormitorio,1 cama,1 baño,"5,0",4,,galicia,https://www.airbnb.es/rooms/797004962892078475?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691085411_Afq%2B62HPF6G3lXeu&previous_page_section_name=1000&federated_search_id=d3e16820-2866-4c03-bb5c-451b6a792443
425.0,Lujoso piso en Plaza de Toros,piso,6 viajeros,2 dormitorios,2 camas,2 baños,"4,67",12,,murcia,https://www.airbnb.es/rooms/762110014215269048?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691086299_OTHskbuwWlQvQm4s&previous_page_section_name=1000&federated_search_id=8d52f324-da10-4646-bcdc-488b72f6ee00
445.0,Hermoso apartamento,piso,4 viajeros,1 dormitorio,1 cama,"1,5 baños","4,79",75,,cataluña,https://www.airbnb.es/rooms/802705137149603075?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-08&check_out=2023-09-13&source_impression_id=p3_1691085937_x664Pwxx5NY7JqWM&previous_page_section_name=1000&federated_search_id=623fae17-3a89-44c7-b82e-e76137125768
449.0,"Sol, Campo y Montaña",piso,4 viajeros,1 dormitorio,2 camas,1 baño,"4,93",222,,aragon,https://www.airbnb.es/rooms/16051726?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-03&source_impression_id=p3_1691085823_8i45ZDArU6xDwEyO&previous_page_section_name=1000&federated_search_id=3397a057-7f5b-41d5-9b75-362a7ceaedde
461.0,Casa Pulín. Casa tradicional reformada en la costa,casa rural,4 viajeros,2 dormitorios,3 camas,1 baño,"4,82",71,,asturias,https://www.airbnb.es/rooms/43860047?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-09&source_impression_id=p3_1691085477_W1gQ2OmrMsmh81cQ&previous_page_section_name=1000&federated_search_id=8b80983a-ac9d-4163-b58f-c91dc4489ab7
