comunidad,url
galicia,https://www.airbnb.es/rooms/43562432?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691085419_%2BQPB2SzsPRyKpehP&previous_page_section_name=1000&federated_search_id=35f1baf4-7172-46fc-8a8c-cec85d19a936
castilla_y_leon,https://www.airbnb.es/rooms/688137497986428988?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691086001_ayJncp6Joq62P5Kq&previous_page_section_name=1000&federated_search_id=2a157d41-5cbb-457b-9700-4b2e084134d3
cataluña,https://www.airbnb.es/rooms/21146839?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-20&check_out=2023-09-25&source_impression_id=p3_1691085911_oCJ1t7b%2FjtvOPIpB&previous_page_section_name=1000&federated_search_id=6c94fe2a-1102-4e23-9f19-928613d0b067
navarra,https://www.airbnb.es/rooms/35362661?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691085699_uX9BX%2BmW%2FgVTnquB&previous_page_section_name=1000&federated_search_id=9b7f2438-a9ca-42d1-9efe-07447cbb6959
castilla_la_mancha,https://www.airbnb.es/rooms/18920723?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1691086240_g5RjBDbOML8%2FsZ3u&previous_page_section_name=1000&federated_search_id=965f6993-bec5-49a6-a3af-420b949734a7
baleares,https://www.airbnb.es/rooms/934164541054953996?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691086678_oJBkZN4gRLlpRNga&previous_page_section_name=1000&federated_search_id=ae9f73bc-5549-44a7-98be-ce3291469e81
cataluña,https://www.airbnb.es/rooms/23908730?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691085954_5wysnKblnAl5ysfw&previous_page_section_name=1000&federated_search_id=8827959c-79be-40a6-8127-3163a9b198c3
galicia,https://www.airbnb.es/rooms/920088577057959627?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691085427_HPFm1LYGlpnPLlSQ&previous_page_section_name=1000&federated_search_id=43f0cc97-1db5-4878-899d-4b46768c551e
navarra,https://www.airbnb.es/rooms/19547612?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-13&source_impression_id=p3_1691085707_6RsbkfnkK6Cde8sJ&previous_page_section_name=1000&federated_search_id=135e53ea-3e99-47ea-87c0-062c82121ded
extremadura,https://www.airbnb.es/rooms/802546962340172068?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086389_jcPbWG5BBfZ05YKM&previous_page_section_name=1000&federated_search_id=8c358d0e-bf63-476c-89f6-d9f65150da01
andalucia,https://www.airbnb.es/rooms/934850334598474227?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1691086456_uTxPQ4OX%2BFbKdysK&previous_page_section_name=1000&federated_search_id=4682e3d6-9cec-422e-9724-ac12b125e123
castilla_y_leon,https://www.airbnb.es/rooms/17473336?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691086009_t42v5Oa3aS5yBvFK&previous_page_section_name=1000&federated_search_id=b4630cea-274f-4c9d-af80-3661f9173b18
comunidad_valenciana,https://www.airbnb.es/rooms/819039969348702184?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-31&check_out=2023-09-06&source_impression_id=p3_1691086148_UX7UpiJwYwfWQ5KM&previous_page_section_name=1000&federated_search_id=4c0865b2-4c53-4972-855b-c03ebb5e23fd
melilla,https://www.airbnb.es/rooms/870095937219227163?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&source_impression_id=p3_1691086591_OELVdPnuC7Jvytu0&previous_page_section_name=1000&federated_search_id=ef1d8409-2e7a-469c-95f6-47ee992badb2
la_rioja,https://www.airbnb.es/rooms/14959356?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691085766_ezkQ8k5XsK05VOvA&previous_page_section_name=1000&federated_search_id=24d89555-bc4f-4054-a78b-936ec0fbb1de
murcia,https://www.airbnb.es/rooms/869268919468910855?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1691086295_JhcM37fvKXmB%2B62%2B&previous_page_section_name=1000&federated_search_id=bb4b79f6-2eab-4faa-a03c-305e3ae7e76a
castilla_y_leon,https://www.airbnb.es/rooms/50741167?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1691085997_1lQHKoUaA%2FtP3uzP&previous_page_section_name=1000&federated_search_id=26d3c233-9c23-44d6-9a61-e538221c3edc
