Unnamed: 0,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,precio,comunidad,url
209.0,La casita de Luz (finca en medio de la isla),,,,,,,,,baleares,https://www.airbnb.es/rooms/49959888?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1691086674_quVqLxEpi05aymOO&previous_page_section_name=1000&federated_search_id=fe1f8555-4e6b-4b84-84b1-22add19ceba6
214.0,Etxelore,,,,,,,,,pais_vasco,https://www.airbnb.es/rooms/17555922?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691085668_3ZFmWSEo6GQZnG6R&previous_page_section_name=1000&federated_search_id=d5701b0d-fb49-4000-a334-7f48c501ff1b
216.0,Habitación amplia y cómoda,,,,,,,,,murcia,https://www.airbnb.es/rooms/917815098876526856?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086281_B4DSjnpnp0tsTMhd&previous_page_section_name=1000&federated_search_id=27ce2f2e-a752-417a-88df-5688f680d26a
220.0,Mariposa,,,,,,,,,madrid,https://www.airbnb.es/rooms/53176092?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-06-01&check_out=2024-06-06&source_impression_id=p3_1691086098_BgZ9xMNzS53n5rzs&previous_page_section_name=1000&federated_search_id=04805f57-90e4-4064-bda5-a48e8154eccd
221.0,casa karama2 habitación entrada independiente peon,,,,,,,,,asturias,https://www.airbnb.es/rooms/689550681906294281?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691085485_eyoga0TQUF7IheoV&previous_page_section_name=1000&federated_search_id=5fcdb7d7-12b2-4ad5-a7b5-ea75740d2723
240.0,Bonito apartamento muy muy cerca del lago .,,,,,,,,,melilla,https://www.airbnb.es/rooms/876894432788299953?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086621_a0Iu78GXXLFOdu16&previous_page_section_name=1000&federated_search_id=d7cf7e74-98c3-4468-86dd-76e02afbf9b3
248.0,"Habitación cómoda, cama individual santa Catalina",,,,,,,,,baleares,https://www.airbnb.es/rooms/50908146?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086661_Sv%2FosMMK3QzLG4Hm&previous_page_section_name=1000&federated_search_id=61026d33-baa1-4adf-a1ad-bf8aa7846835
249.0,Apartamento muy bonito y aseado,,,,,,,,,galicia,https://www.airbnb.es/rooms/749803792807173923?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691085423_AB2aSCmzXzk7%2FCmT&previous_page_section_name=1000&federated_search_id=1ff38b49-fee4-4bbe-9f77-4d42073c5db1
250.0,Acogedor dormitorio privado en una ubicación perfecta,,,,,,,,,valencia,https://www.airbnb.es/rooms/700744002984723269?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085371_M4HwJM25R9wPK74L&previous_page_section_name=1000&federated_search_id=17ecb331-8746-4398-a500-40136d3f3c40
252.0,Habitación con mucha luz natural,,,,,,,,,baleares,https://www.airbnb.es/rooms/52578043?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-19&check_out=2023-09-24&source_impression_id=p3_1691086678_EL3zMs7NBvTfssqk&previous_page_section_name=1000&federated_search_id=ae9f73bc-5549-44a7-98be-ce3291469e81
