,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,precio,titulo_anuncio,comunidad,url,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones
50,50.0,50.0,50.0,50.0,28€,Habitación privada matrimonial,valencia,https://www.airbnb.es/rooms/871120587138124998?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-06&check_out=2023-10-11&source_impression_id=p3_1691085367_8J8kqNIDpLYS3CZP&previous_page_section_name=1000&federated_search_id=715ecdc3-3511-4ce1-a16d-881ec9184d03,Jose,2 viajeros,1 dormitorio,1 cama,1 baño compartido,"4,84",19
51,51.0,51.0,51.0,51.0,,,castilla_y_leon,https://www.airbnb.es/rooms/694914373136465040?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-14&source_impression_id=p3_1691085981_m9UxKPcv3Brb%2FC5y&previous_page_section_name=1000&federated_search_id=5c608d43-2220-4bac-92b4-438c79a82ae1,,,,,,,
52,52.0,52.0,52.0,52.0,28€,Apartamento en alquiler,ceuta,https://www.airbnb.es/rooms/929884890815086275?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086520_ithGHZWx6wA%2FMj4n&previous_page_section_name=1000&federated_search_id=24264967-4eb2-45b7-bfb3-1fa9b640c30d,piso,4 viajeros,1 dormitorio,1 cama,1 baño,,
53,53.0,53.0,53.0,53.0,43€,Mucha Luz. Vistas. Playa a 5 mints. HAB/BAÑO,pais_vasco,https://www.airbnb.es/rooms/16295850?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-15&check_out=2023-09-20&source_impression_id=p3_1691085628_kt9%2F5aB8ZlBGYTqP&previous_page_section_name=1000&federated_search_id=a351f612-6da7-49ad-a724-ca1169f0384e,,,,,,,
54,54.0,54.0,54.0,54.0,64€,Estudio en la Virgen de la Vega,aragon,https://www.airbnb.es/rooms/730342651036797630?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1691085845_9mtpnR3iyWnqwxZ6&previous_page_section_name=1000&federated_search_id=a2ff12aa-4480-4548-b869-965d44e44439,vivienda vacacional,4 viajeros,1 dormitorio,2 camas,1 baño,"5,0",8
55,55.0,55.0,55.0,55.0,123€,Apartamento Albelda Centro,la_rioja,https://www.airbnb.es/rooms/53543198?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085779_2PqbXEi1nA320%2Bdf&previous_page_section_name=1000&federated_search_id=e434b464-b37a-49a6-9868-cdf4692f0e49,piso,8 viajeros,4 dormitorios,4 camas,1 baño,"4,92",26
56,56.0,56.0,56.0,56.0,117€,Playa Rodeira Cangas.,galicia,https://www.airbnb.es/rooms/939166495965918706?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-25&source_impression_id=p3_1691085415_fVRno41XeF8h7UF4&previous_page_section_name=1000&federated_search_id=e6105bea-ebe9-43bc-9808-8d335f0b0f11,loft,3 viajeros,1 dormitorio,2 camas,1 baño,,
57,57.0,57.0,57.0,57.0,,,navarra,https://www.airbnb.es/rooms/909472203826009533?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-08&source_impression_id=p3_1691085740_NOJqLzs7aJsfS7lR&previous_page_section_name=1000&federated_search_id=1d9330a6-cc5d-4cde-ace7-b39a08194ef2,,,,,,,
58,58.0,58.0,58.0,58.0,140€,Cabaña O Cateiriño,galicia,https://www.airbnb.es/rooms/736880863355260107?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085447_wyHpFxrGIZIh7n%2Fh&previous_page_section_name=1000&federated_search_id=02d85ad4-0dae-4e2b-9ba5-969df70670ac,Jennifer,3 viajeros,1 dormitorio,1 cama,1 baño,"5,0",3
59,59.0,59.0,59.0,59.0,21€,2. habitación + wifi / cocina,valencia,https://www.airbnb.es/rooms/921048728492276910?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-10&source_impression_id=p3_1691085341_s16DvCWl6te6RSeE&previous_page_section_name=1000&federated_search_id=9a8c8858-8187-482b-bbb7-e88b3bf9cfda,,,,,,,
60,60.0,60.0,60.0,60.0,28€,"Habitación ""Romantique""",comunidad_valenciana,https://www.airbnb.es/rooms/17809080?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&source_impression_id=p3_1691086152_%2FVVcOWcY2ewEUAZ6&previous_page_section_name=1000&federated_search_id=a6941712-f067-45b8-8a9c-74654d86b617,,,,,,,
