,precio,valoracion,n_evaluaciones,comunidad,url,titulo_anuncio,numero_personas,n_dormitorios,numero_camas,numero_banos
45,40€,"4,75",40,navarra,https://www.airbnb.es/rooms/52313740?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1691085695_vwhQ1Zesp2nG5oNk&previous_page_section_name=1000&federated_search_id=a6a27ac9-d07a-4dba-b14f-3439ecc0647b,,,,,
46,44€,"4,75",63,la_rioja,https://www.airbnb.es/rooms/565909140343912266?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1691085783_1vJXJyJo1QW3tIbB&previous_page_section_name=1000&federated_search_id=9615b049-1d79-4dd2-a8a5-7779e5bc11ac,,,,,
47,33€,"4,67",42,valencia,https://www.airbnb.es/rooms/719677043839766734?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691085388_4usPxJeuJbBPRI07&previous_page_section_name=1000&federated_search_id=bf6949a6-d345-4a53-aa5a-8950b0cca889,,,,,
48,85€,"4,98",167,asturias,https://www.airbnb.es/rooms/20089570?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-09-30&source_impression_id=p3_1691085522_0xBGRVtsipxR73VB&previous_page_section_name=1000&federated_search_id=b9dc1286-0fd6-4055-8c69-8bcdc478d9e6,Alojamiento entero: adosado. Anfitrión: Eva,4 viajeros,1 dormitorio,1 cama,1 baño
49,26€,"4,0",10,cataluña,https://www.airbnb.es/rooms/851156550556943953?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691085950_%2Fv71ZnMp2%2ByvTRcB&previous_page_section_name=1000&federated_search_id=a7c0d776-7f1e-4035-b772-e8c455d40d1c,,,,,
50,30€,"4,89",18,andalucia,https://www.airbnb.es/rooms/826161084998821736?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691086460_jvOw89VWwPQQo3PC&previous_page_section_name=1000&federated_search_id=5327a49a-74a2-449c-9ae7-dcf7932bbb0a,,,,,
51,20€,,,madrid,https://www.airbnb.es/rooms/948668312761345486?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-09&source_impression_id=p3_1691086051_r7sp%2FtXZNbCAQpFs&previous_page_section_name=1000&federated_search_id=1432602d-c107-41c2-8f2d-45d610bcebd2,,,,,
52,70€,"4,85",26,cantabria,https://www.airbnb.es/rooms/585449732124121332?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691085549_t3Q42z03wbl9wtmA&previous_page_section_name=1000&federated_search_id=6b3ce089-ee17-43bc-b1b0-13e06f17bd5f,Alojamiento entero: vivienda vacacional. Anfitrión: Paula,2 viajeros,1 dormitorio,1 cama,1 baño
53,51€,"3,70",10,baleares,https://www.airbnb.es/rooms/859245370347709235?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-06&check_out=2023-10-11&source_impression_id=p3_1691086682_WjcPOWteGgN6uh8o&previous_page_section_name=1000&federated_search_id=684ff2f9-4d23-4dd1-b22b-4cce5cd9b2a7,Alojamiento entero: vivienda. Anfitrión: Bookiply,2 viajeros,1 dormitorio,2 camas,1 baño
54,95€,"4,69",168,castilla_y_leon,https://www.airbnb.es/rooms/29901904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691085985_i%2FqYJrIRSxfaUbU4&previous_page_section_name=1000&federated_search_id=b50051a8-7f1a-4116-b1ff-f525b30baff0,Alojamiento entero: cabaña. Anfitrión: Jimena,4 viajeros,1 dormitorio,2 camas,1 baño
55,149€,"4,98",40,castilla_y_leon,https://www.airbnb.es/rooms/776163721124088845?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1691085967_AwhkLSEYnkjEm7Ic&previous_page_section_name=1000&federated_search_id=06d9905f-cb16-43f3-9f00-0ac4885f83d4,Alojamiento entero: piso. Anfitrión: Ana Belén,2 viajeros,1 dormitorio,1 cama,1 baño
56,186€,"5,0",14,navarra,https://www.airbnb.es/rooms/744983526322618113?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-09&source_impression_id=p3_1691085720_36KrggO7e2hQSZml&previous_page_section_name=1000&federated_search_id=e5a274f3-e5da-4a93-97c4-a5fe81bb9770,Alojamiento entero: villa. Anfitrión: Andy,9 viajeros,4 dormitorios,10 camas,2 baños
57,,"4,78",27,pais_vasco,https://www.airbnb.es/rooms/693231465263918992?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-24&source_impression_id=p3_1691085668_wmwuX8xxbuKedVSb&previous_page_section_name=1000&federated_search_id=d5701b0d-fb49-4000-a334-7f48c501ff1b,Alojamiento (chalet). Anfitrión: Patricio,4 viajeros,1 dormitorio,1 cama,1 baño privado
58,34€,"4,90",31,madrid,https://www.airbnb.es/rooms/763756755004491023?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086094_4KG3EiqPHM6eZDmM&previous_page_section_name=1000&federated_search_id=acf17f98-b6f3-4804-8e2a-b598b276d60f,,,,,
59,54€,"4,43",21,navarra,https://www.airbnb.es/rooms/13338401?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085728_Q4VQj2dH7n2wWo8%2F&previous_page_section_name=1000&federated_search_id=b498fda4-4a78-4059-b4ca-275b73c5a549,,,,,
60,52€,"4,94",137,andalucia,https://www.airbnb.es/rooms/40649956?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-30&source_impression_id=p3_1691086473_h7Vj3NPCDvuQqYI6&previous_page_section_name=1000&federated_search_id=d33f7196-1f0b-4229-80d2-3be507103135,Alojamiento entero: casa de invitados. Anfitrión: Teresa,2 viajeros,1 dormitorio,1 cama,1 baño
61,,"4,79",38,murcia,https://www.airbnb.es/rooms/858001610011186291?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-22&source_impression_id=p3_1691086281_QFf%2F1w5WqY2x6f53&previous_page_section_name=1000&federated_search_id=27ce2f2e-a752-417a-88df-5688f680d26a,Alojamiento entero: piso. Anfitrión: Adrian,6 viajeros,2 dormitorios,4 camas,1 baño
62,,"4,47",78,extremadura,https://www.airbnb.es/rooms/599253388165741378?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691086358_knBoox28sTLgObMA&previous_page_section_name=1000&federated_search_id=474b80c0-9a07-4dd1-a776-098e4f671fc5,Alojamiento entero: apto. residencial. Anfitrión: Lombar,2 viajeros,1 dormitorio,1 cama,1 baño
63,45€,"4,60",10,galicia,https://www.airbnb.es/rooms/841047409585548966?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1691085455_yjpmgkJQ53mOOfBs&previous_page_section_name=1000&federated_search_id=2a3fbbba-790f-41bf-b073-6e97dbf161e1,Alojamiento entero: piso. Anfitrión: Gonzalo,2 viajeros,1 dormitorio,1 cama,1 baño
64,40€,1,evaluación,navarra,https://www.airbnb.es/rooms/918855260431128995?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691085744_aC%2BreQKECMW3s2Hf&previous_page_section_name=1000&federated_search_id=5fc13d75-1b8a-4ea6-8b01-649fb2eda7e8,,,,,
65,40€,"4,77",90,cataluña,https://www.airbnb.es/rooms/29793037?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085906_PPBs0L1hx%2Bx6v66r&previous_page_section_name=1000&federated_search_id=2e9babc7-9a92-4a34-9951-210ff2270237,,,,,
66,66€,"4,86",175,cataluña,https://www.airbnb.es/rooms/45519650?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-11&check_out=2023-10-16&source_impression_id=p3_1691085954_c42si8adtZRrt5ee&previous_page_section_name=1000&federated_search_id=8827959c-79be-40a6-8127-3163a9b198c3,Alojamiento entero: piso. Anfitrión: Jeanine,2 viajeros,Estudio,1 cama,1 baño
