,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,precio,comunidad,url
1272,la casa de campo,cabaña,2 viajeros,1 dormitorio,1 cama,1 baño,2,evaluaciones,86€,castilla_la_mancha,https://www.airbnb.es/rooms/931817295648590512?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-29&check_out=2023-09-03&source_impression_id=p3_1691086208_PZCOYCMqHjkaS9TF&previous_page_section_name=1000&federated_search_id=f359ae9c-bc30-4004-a527-1e94972f228c
1273,Estudio de ensueño en la playa,piso,2 viajeros,Estudio,1 cama,1 baño,,,,baleares,https://www.airbnb.es/rooms/943232030342346746?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086626_fBZ2xZ9m5kfqHcEu&previous_page_section_name=1000&federated_search_id=25d6f8ef-1426-4009-a1a6-b007ee094b9b
1274,Kuartozaharra: Apartamento rural con encanto.,piso,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,73",66,57€,navarra,https://www.airbnb.es/rooms/17451529?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-09-30&source_impression_id=p3_1691085720_Sktsly2pPnfd0auZ&previous_page_section_name=1000&federated_search_id=e5a274f3-e5da-4a93-97c4-a5fe81bb9770
1275,"*Estudio Villazón,12 min PAMPLONA,Cam SANTIAGO",loft,2 viajeros,1 dormitorio,3 camas,"1,5 baños","4,84",180,60€,aragon,https://www.airbnb.es/rooms/15358517?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-22&source_impression_id=p3_1691085865_s1u5x9%2BSCla%2FzisQ&previous_page_section_name=1000&federated_search_id=58c7cf4e-4087-4c1f-a350-353ce9ffb2fd
1276,Apartamento cerca de Palma,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"5,0",5,86€,baleares,https://www.airbnb.es/rooms/928859428728071353?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1691086653_r38cVCb7ir7%2FgtWf&previous_page_section_name=1000&federated_search_id=94779e3f-fa4f-4aa6-9f6e-1fa3b7249cf9
1277,habitación en piso,,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/937618098266819189?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-31&check_out=2023-09-05&source_impression_id=p3_1691086181_Xjh%2B7rXWKtUVqhT%2B&previous_page_section_name=1000&federated_search_id=631070d1-c9b0-40d3-881a-dd0f7647920c
1278,Finca A Cabadiña con Piscina y Huerto en Ourense,vivienda,7 viajeros,4 dormitorios,4 camas,3 baños,"4,85",148,89€,galicia,https://www.airbnb.es/rooms/1788659?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-03&check_out=2023-10-08&source_impression_id=p3_1691085411_GWPBauhnP9Yfv7XB&previous_page_section_name=1000&federated_search_id=d3e16820-2866-4c03-bb5c-451b6a792443
1279,Acogedora suite con entrada independiente,suite con entrada independiente,4 viajeros,1 dormitorio,1 cama,1 baño,"5,0",7,99€,castilla_la_mancha,https://www.airbnb.es/rooms/709159154973434214?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-22&source_impression_id=p3_1691086217_z8epKFXIAp3yrqIf&previous_page_section_name=1000&federated_search_id=260d87fd-2bb8-4790-ab75-cb4042e7eb45
1280,Casa de campo con piscina en naturaleza pura. Playa a 20 km,Sarah,2 viajeros,1 cama,"1,5 baños",,,,,aragon,https://www.airbnb.es/rooms/21222381?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-27&check_out=2023-10-02&source_impression_id=p3_1691085876_yyhX3S5J8vU8aeW7&previous_page_section_name=1000&federated_search_id=76720e18-d93a-4b89-b47e-c383f2e956d8
1281,Apartamento cerca del mar,piso,6 viajeros,2 dormitorios,5 camas,1 baño,"4,57",30,70€,melilla,https://www.airbnb.es/rooms/33366673?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-08&check_out=2023-08-13&source_impression_id=p3_1691086582_L9xntaHXhEvUSdWQ&previous_page_section_name=1000&federated_search_id=ec6e7866-7611-49d6-afe6-eb0d5a96f79c
1282,"La cabaña ,el descanso del mar",suite con entrada independiente,3 viajeros,1 dormitorio,1 baño,,,,,asturias,https://www.airbnb.es/rooms/7399815?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-14&source_impression_id=p3_1691085489_AMX8VRudmH4%2Fxclg&previous_page_section_name=1000&federated_search_id=aaa68aae-f7ed-43bf-bd1f-48c0b360ff6a
1283,Precioso apartamento con terraza.,piso,4 viajeros,2 dormitorios,4 camas,"1,5 baños","4,92",71,80€,navarra,https://www.airbnb.es/rooms/660924670838049186?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1691085744_0fZkNm2uffWAREZW&previous_page_section_name=1000&federated_search_id=5fc13d75-1b8a-4ea6-8b01-649fb2eda7e8
