,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,comunidad,url,valoracion,n_evaluaciones,precio
40,Preciosa habitación para quedarte.,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/689635839266268104?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086135_84066VzFZvy8NO36&previous_page_section_name=1000&federated_search_id=a86b27f4-0962-4f79-8e1e-e8e9a9f7c3da,,,
41,Apto de 2 dormitorios junto playa,piso,5 viajeros,2 dormitorios,4 camas,1 baño,melilla,https://www.airbnb.es/rooms/4401164?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1691086556_oe6yl0x9xK%2FSv8n%2B&previous_page_section_name=1000&federated_search_id=83b8b06f-5ab6-472c-9748-68dab7cb73e7,"4,71",87,60€
42,Amplia Habitación Valencia Centro(Plaza España),,,,,,valencia,https://www.airbnb.es/rooms/52366131?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691085363_8vmQtgD0VXhnWVGh&previous_page_section_name=1000&federated_search_id=23586241-f757-4ba0-a83d-4808f5ac05c2,,,
43,Casa Quemeniña,vivienda vacacional,3 viajeros,2 dormitorios,2 camas,1 baño,galicia,https://www.airbnb.es/rooms/639782558867492605?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-31&source_impression_id=p3_1691085427_daeVOHPv7bLVVumO&previous_page_section_name=1000&federated_search_id=43f0cc97-1db5-4878-899d-4b46768c551e,"4,82",11,120€
44,Estudio en Córdoba a 5 minutos de estación de tren,loft,4 viajeros,2 dormitorios,3 camas,1 baño,andalucia,https://www.airbnb.es/rooms/857106726889692640?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1691086456_P10rejs%2FXDFmFsNs&previous_page_section_name=1000&federated_search_id=4682e3d6-9cec-422e-9724-ac12b125e123,"4,93",15,
45,Finca Limoncelli,chalet,2 viajeros,1 dormitorio,1 cama,1 baño,aragon,https://www.airbnb.es/rooms/654763280500165385?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-02&source_impression_id=p3_1691085869_QTJrsNG6K5wLIkqT&previous_page_section_name=1000&federated_search_id=0a9749c8-b701-416e-90b0-c7d926d21d43,"4,89",9,60€
46,Tranquilo y completo adosado.,adosado,7 viajeros,3 dormitorios,5 camas,2 baños,aragon,https://www.airbnb.es/rooms/749339510994288752?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-09-01&source_impression_id=p3_1691085884_Mn3ATHZI4cU1IjNG&previous_page_section_name=1000&federated_search_id=415aca3a-0056-44d2-aef3-28d018fdea57,"4,75",16,169€
47,Encantador apartamento con vistas increíbles,casa rural,4 viajeros,2 dormitorios,3 camas,1 baño,extremadura,https://www.airbnb.es/rooms/37123379?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691086363_iTHOYgG0Kco83%2F8I&previous_page_section_name=1000&federated_search_id=969fb88e-1bfc-4875-8cbe-da527822721e,"5,0",19,65€
48,"Agradable, Privada, Cómoda!",,,,,,valencia,https://www.airbnb.es/rooms/946357178837404991?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691085325_pmmDHG2N9d6LqVJ6&previous_page_section_name=1000&federated_search_id=3c2c32f9-e204-49ea-96e9-ed6af4ce4871,,,
49,Casita de piedra,cabaña,2 viajeros,1 dormitorio,2 camas,1 baño,castilla_la_mancha,https://www.airbnb.es/rooms/40675661?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086232_LDPK1%2FyHmEme0lgT&previous_page_section_name=1000&federated_search_id=7fa2e520-da38-4611-ac23-a14ddf2a38b4,"5,0",15,48€
50,"Apartamento en Cabaña, con vistas maravillosas 1-S",cabaña,4 viajeros,2 dormitorios,3 camas,1 baño,cantabria,https://www.airbnb.es/rooms/914946550110393840?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-14&source_impression_id=p3_1691085605_585NWcWAmdK5aOxL&previous_page_section_name=1000&federated_search_id=165772be-497f-4967-b576-093d06c97458,1,evaluación,
51,Pequeña casa acogedora,vivienda,4 viajeros,1 dormitorio,2 camas,1 baño,andalucia,https://www.airbnb.es/rooms/579723610472336104?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-06&source_impression_id=p3_1691086448_oGHTK%2F6wW8NbIUv9&previous_page_section_name=1000&federated_search_id=b8dbd954-4832-4555-97b7-fac7c2778a04,"4,68",31,
52,El Corralito. Casita perfecta para parejas.,casa de invitados,2 viajeros,1 dormitorio,2 camas,1 baño,comunidad_valenciana,https://www.airbnb.es/rooms/856937348518737418?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1691086152_Pz99KEcpqF5gpusd&previous_page_section_name=1000&federated_search_id=a6941712-f067-45b8-8a9c-74654d86b617,"5,0",3,45€
53,Casa Acantilado,villa,6 viajeros,3 dormitorios,4 camas,3 baños,andalucia,https://www.airbnb.es/rooms/40812353?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-28&check_out=2023-12-05&source_impression_id=p3_1691086435_o3JLMBeJmA%2BdzHRy&previous_page_section_name=1000&federated_search_id=380b503c-6271-433c-acd7-b4d90eb22511,"4,91",47,430€
54,Apartamento con piscina Suances,piso,2 viajeros,1 dormitorio,1 cama,1 baño,cantabria,https://www.airbnb.es/rooms/903506489431660955?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085588_idCfNQyVXlDHOOe3&previous_page_section_name=1000&federated_search_id=6bdde363-927f-41b0-8b02-718ea1927f4a,1,evaluación,101€
55,Habitación a estrenar en un piso en Sagunto.,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/29033929?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-17&source_impression_id=p3_1691086169_WKiL5Wz74%2FmbX9Vt&previous_page_section_name=1000&federated_search_id=0473af94-4fbe-46a2-813f-395a7f33739f,,,
56,Habitación verde para 1 persona,,,,,,castilla_la_mancha,https://www.airbnb.es/rooms/31505010?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691086252_kU9rItpNZ%2BORxhFn&previous_page_section_name=1000&federated_search_id=10b3325f-93e8-4cac-a023-c47a93311067,,,
57,Piscina en la Sierra,loft,3 viajeros,1 dormitorio,4 camas,"1,5 baños",castilla_y_leon,https://www.airbnb.es/rooms/26356255?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1691086029_j3c0MtYofoKeisAc&previous_page_section_name=1000&federated_search_id=c6b611c9-94f0-4797-89a3-cbf8f10fa52b,"4,84",89,80€
58,Hab.con cama grande en playa Santandria y SaCaleta,,,,,,baleares,https://www.airbnb.es/rooms/35584674?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-15&source_impression_id=p3_1691086695_gqhD5cMTS0eFMJHw&previous_page_section_name=1000&federated_search_id=b833ca95-0eed-48ed-97d3-9a3a110e78a3,,,
59,Ca l 'Anna i l' Antonio,Anna,3 viajeros,2 dormitorios,3 camas,"1,5 baños",cataluña,https://www.airbnb.es/rooms/599009163115691018?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-20&source_impression_id=p3_1691085906_8XHaR1iIwXJU8ndY&previous_page_section_name=1000&federated_search_id=2e9babc7-9a92-4a34-9951-210ff2270237,"4,88",24,26€
60,Casa Rural El Palomeque,casa rural,6 viajeros,3 dormitorios,5 camas,3 baños,extremadura,https://www.airbnb.es/rooms/559765243817654530?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1691086375_91sjaLf%2FZeg8ebmE&previous_page_section_name=1000&federated_search_id=b75cf506-cd7c-451a-875e-aa9b2560bab4,1,evaluación,68€
61,Room Mallorca two,Room,2 viajeros,2 dormitorios,2 camas,1 baño,baleares,https://www.airbnb.es/rooms/936903612947413313?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-01&check_out=2024-01-06&source_impression_id=p3_1691086682_fHbw21GOKr%2BIxk5m&previous_page_section_name=1000&federated_search_id=684ff2f9-4d23-4dd1-b22b-4cce5cd9b2a7,1,evaluación,50€
62,Retiro tranquilo en plena naturaleza by beBalmy,vivienda,3 viajeros,1 dormitorio,1 cama,1 baño,castilla_y_leon,https://www.airbnb.es/rooms/856243333343554605?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086001_OLO2JatPICvfV2yo&previous_page_section_name=1000&federated_search_id=2a157d41-5cbb-457b-9700-4b2e084134d3,2,evaluaciones,
63,"Apartamentos Perlora, bañados por el mar. El Bahía",apartamento con servicios,3 viajeros,1 dormitorio,2 camas,1 baño,asturias,https://www.airbnb.es/rooms/45913470?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-21&check_out=2023-09-26&source_impression_id=p3_1691085514_4ZK0%2FSJ6C2u3PMqu&previous_page_section_name=1000&federated_search_id=effd06b7-7485-4463-845b-a96e69a71567,"4,85",67,70€
64,Habitación en casa escuela yoga,,,,,,galicia,https://www.airbnb.es/rooms/905092826961395594?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691085435_S1yuCsynJnxUSF8K&previous_page_section_name=1000&federated_search_id=0954f288-876f-4c03-a747-bbf0227fe003,,,
